[ 8950.840249] NVMeVirt: start_lpn=0, len=512, end_lpn=63, delay=8950840249276
[ 8950.844018] NVMeVirt: start_lpn=1408, len=512, end_lpn=1471, delay=197870
[ 8950.844020] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844031] NVMeVirt: NAND Write Latency: 263912
[ 8950.844031] NVMeVirt: Total Write Latency: 107168
[ 8950.844144] NVMeVirt: start_lpn=1472, len=512, end_lpn=1535, delay=124151
[ 8950.844145] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844146] NVMeVirt: NAND Write Latency: 0
[ 8950.844147] NVMeVirt: Total Write Latency: 107168
[ 8950.844350] NVMeVirt: start_lpn=1536, len=512, end_lpn=1599, delay=204881
[ 8950.844351] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844360] NVMeVirt: NAND Write Latency: 263912
[ 8950.844361] NVMeVirt: Total Write Latency: 107168
[ 8950.844483] NVMeVirt: start_lpn=1600, len=512, end_lpn=1663, delay=131501
[ 8950.844484] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844485] NVMeVirt: NAND Write Latency: 0
[ 8950.844486] NVMeVirt: Total Write Latency: 107168
[ 8950.844681] NVMeVirt: start_lpn=1664, len=512, end_lpn=1727, delay=197840
[ 8950.844683] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844691] NVMeVirt: NAND Write Latency: 263912
[ 8950.844692] NVMeVirt: Total Write Latency: 107168
[ 8950.844805] NVMeVirt: start_lpn=1728, len=512, end_lpn=1791, delay=122161
[ 8950.844806] NVMeVirt: Write Buffer Latency: 107168
[ 8950.844807] NVMeVirt: NAND Write Latency: 0
[ 8950.844808] NVMeVirt: Total Write Latency: 107168
[ 8950.845014] NVMeVirt: start_lpn=1792, len=512, end_lpn=1855, delay=208091
[ 8950.845015] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845023] NVMeVirt: NAND Write Latency: 263912
[ 8950.845024] NVMeVirt: Total Write Latency: 107168
[ 8950.845140] NVMeVirt: start_lpn=1856, len=512, end_lpn=1919, delay=124911
[ 8950.845141] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845142] NVMeVirt: NAND Write Latency: 0
[ 8950.845143] NVMeVirt: Total Write Latency: 107168
[ 8950.845346] NVMeVirt: start_lpn=1920, len=512, end_lpn=1983, delay=205400
[ 8950.845347] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845356] NVMeVirt: NAND Write Latency: 263912
[ 8950.845357] NVMeVirt: Total Write Latency: 107168
[ 8950.845478] NVMeVirt: start_lpn=1984, len=512, end_lpn=2047, delay=130671
[ 8950.845479] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845480] NVMeVirt: NAND Write Latency: 0
[ 8950.845481] NVMeVirt: Total Write Latency: 107168
[ 8950.845677] NVMeVirt: start_lpn=2048, len=512, end_lpn=2111, delay=198261
[ 8950.845679] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845688] NVMeVirt: NAND Write Latency: 263912
[ 8950.845689] NVMeVirt: Total Write Latency: 107168
[ 8950.845803] NVMeVirt: start_lpn=2112, len=512, end_lpn=2175, delay=124911
[ 8950.845804] NVMeVirt: Write Buffer Latency: 107168
[ 8950.845805] NVMeVirt: NAND Write Latency: 0
[ 8950.845806] NVMeVirt: Total Write Latency: 107168
[ 8950.846009] NVMeVirt: start_lpn=2176, len=512, end_lpn=2239, delay=205110
[ 8950.846011] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846019] NVMeVirt: NAND Write Latency: 263912
[ 8950.846019] NVMeVirt: Total Write Latency: 107168
[ 8950.846138] NVMeVirt: start_lpn=2240, len=512, end_lpn=2303, delay=127691
[ 8950.846139] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846140] NVMeVirt: NAND Write Latency: 0
[ 8950.846141] NVMeVirt: Total Write Latency: 107168
[ 8950.846340] NVMeVirt: start_lpn=2304, len=512, end_lpn=2367, delay=201291
[ 8950.846342] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846350] NVMeVirt: NAND Write Latency: 263912
[ 8950.846352] NVMeVirt: Total Write Latency: 107168
[ 8950.846471] NVMeVirt: start_lpn=2368, len=512, end_lpn=2431, delay=129621
[ 8950.846473] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846474] NVMeVirt: NAND Write Latency: 0
[ 8950.846475] NVMeVirt: Total Write Latency: 107168
[ 8950.846673] NVMeVirt: start_lpn=2432, len=512, end_lpn=2495, delay=199990
[ 8950.846674] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846682] NVMeVirt: NAND Write Latency: 263912
[ 8950.846683] NVMeVirt: Total Write Latency: 107168
[ 8950.846799] NVMeVirt: start_lpn=2496, len=512, end_lpn=2559, delay=125161
[ 8950.846800] NVMeVirt: Write Buffer Latency: 107168
[ 8950.846801] NVMeVirt: NAND Write Latency: 0
[ 8950.846802] NVMeVirt: Total Write Latency: 107168
[ 8950.847004] NVMeVirt: start_lpn=2560, len=512, end_lpn=2623, delay=204251
[ 8950.847005] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847014] NVMeVirt: NAND Write Latency: 263912
[ 8950.847015] NVMeVirt: Total Write Latency: 107168
[ 8950.847130] NVMeVirt: start_lpn=2624, len=512, end_lpn=2687, delay=124831
[ 8950.847131] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847132] NVMeVirt: NAND Write Latency: 0
[ 8950.847133] NVMeVirt: Total Write Latency: 107168
[ 8950.847335] NVMeVirt: start_lpn=2688, len=512, end_lpn=2751, delay=204140
[ 8950.847336] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847346] NVMeVirt: NAND Write Latency: 263912
[ 8950.847347] NVMeVirt: Total Write Latency: 107168
[ 8950.847462] NVMeVirt: start_lpn=2752, len=512, end_lpn=2815, delay=125421
[ 8950.847463] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847464] NVMeVirt: NAND Write Latency: 0
[ 8950.847465] NVMeVirt: Total Write Latency: 107168
[ 8950.847667] NVMeVirt: start_lpn=2816, len=512, end_lpn=2879, delay=204071
[ 8950.847668] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847676] NVMeVirt: NAND Write Latency: 263912
[ 8950.847677] NVMeVirt: Total Write Latency: 107168
[ 8950.847792] NVMeVirt: start_lpn=2880, len=512, end_lpn=2943, delay=124351
[ 8950.847793] NVMeVirt: Write Buffer Latency: 107168
[ 8950.847794] NVMeVirt: NAND Write Latency: 0
[ 8950.847795] NVMeVirt: Total Write Latency: 107168
[ 8950.847998] NVMeVirt: start_lpn=2944, len=512, end_lpn=3007, delay=204360
[ 8950.847999] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848007] NVMeVirt: NAND Write Latency: 263912
[ 8950.848008] NVMeVirt: Total Write Latency: 107168
[ 8950.848124] NVMeVirt: start_lpn=3008, len=512, end_lpn=3071, delay=125191
[ 8950.848125] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848126] NVMeVirt: NAND Write Latency: 0
[ 8950.848127] NVMeVirt: Total Write Latency: 107168
[ 8950.848329] NVMeVirt: start_lpn=3072, len=512, end_lpn=3135, delay=204231
[ 8950.848330] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848340] NVMeVirt: NAND Write Latency: 263912
[ 8950.848341] NVMeVirt: Total Write Latency: 107168
[ 8950.848456] NVMeVirt: start_lpn=3136, len=512, end_lpn=3199, delay=125361
[ 8950.848457] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848458] NVMeVirt: NAND Write Latency: 0
[ 8950.848459] NVMeVirt: Total Write Latency: 107168
[ 8950.848661] NVMeVirt: start_lpn=3200, len=512, end_lpn=3263, delay=204490
[ 8950.848663] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848671] NVMeVirt: NAND Write Latency: 263912
[ 8950.848672] NVMeVirt: Total Write Latency: 107168
[ 8950.848787] NVMeVirt: start_lpn=3264, len=512, end_lpn=3327, delay=124571
[ 8950.848788] NVMeVirt: Write Buffer Latency: 107168
[ 8950.848789] NVMeVirt: NAND Write Latency: 0
[ 8950.848790] NVMeVirt: Total Write Latency: 107168
[ 8950.848993] NVMeVirt: start_lpn=3328, len=512, end_lpn=3391, delay=205241
[ 8950.848994] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849003] NVMeVirt: NAND Write Latency: 263912
[ 8950.849003] NVMeVirt: Total Write Latency: 107168
[ 8950.849120] NVMeVirt: start_lpn=3392, len=512, end_lpn=3455, delay=125661
[ 8950.849121] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849122] NVMeVirt: NAND Write Latency: 0
[ 8950.849123] NVMeVirt: Total Write Latency: 107168
[ 8950.849324] NVMeVirt: start_lpn=3456, len=512, end_lpn=3519, delay=203270
[ 8950.849325] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849335] NVMeVirt: NAND Write Latency: 263912
[ 8950.849335] NVMeVirt: Total Write Latency: 107168
[ 8950.849450] NVMeVirt: start_lpn=3520, len=512, end_lpn=3583, delay=124611
[ 8950.849451] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849452] NVMeVirt: NAND Write Latency: 0
[ 8950.849453] NVMeVirt: Total Write Latency: 107168
[ 8950.849656] NVMeVirt: start_lpn=3584, len=512, end_lpn=3647, delay=204761
[ 8950.849657] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849665] NVMeVirt: NAND Write Latency: 263912
[ 8950.849666] NVMeVirt: Total Write Latency: 107168
[ 8950.849783] NVMeVirt: start_lpn=3648, len=512, end_lpn=3711, delay=126101
[ 8950.849784] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849785] NVMeVirt: NAND Write Latency: 0
[ 8950.849786] NVMeVirt: Total Write Latency: 107168
[ 8950.849988] NVMeVirt: start_lpn=3712, len=512, end_lpn=3775, delay=203590
[ 8950.849989] NVMeVirt: Write Buffer Latency: 107168
[ 8950.849998] NVMeVirt: NAND Write Latency: 263912
[ 8950.849998] NVMeVirt: Total Write Latency: 107168
[ 8950.850115] NVMeVirt: start_lpn=3776, len=512, end_lpn=3839, delay=125701
[ 8950.850116] NVMeVirt: Write Buffer Latency: 107168
[ 8950.850117] NVMeVirt: NAND Write Latency: 0
[ 8950.850118] NVMeVirt: Total Write Latency: 107168
[ 8950.850320] NVMeVirt: start_lpn=3840, len=512, end_lpn=3903, delay=204761
[ 8950.850322] NVMeVirt: Write Buffer Latency: 107168
[ 8950.850331] NVMeVirt: NAND Write Latency: 263912
[ 8950.850332] NVMeVirt: Total Write Latency: 107168
[ 8950.850445] NVMeVirt: start_lpn=3904, len=512, end_lpn=3967, delay=123111
[ 8950.850446] NVMeVirt: Write Buffer Latency: 107168
[ 8950.850447] NVMeVirt: NAND Write Latency: 0
[ 8950.850448] NVMeVirt: Total Write Latency: 107168
[ 8950.850649] NVMeVirt: start_lpn=3968, len=512, end_lpn=4031, delay=202650
[ 8950.850650] NVMeVirt: Write Buffer Latency: 107168
[ 8950.850658] NVMeVirt: NAND Write Latency: 263912
[ 8950.850658] NVMeVirt: Total Write Latency: 107168
[ 8950.850775] NVMeVirt: start_lpn=4032, len=512, end_lpn=4095, delay=125551
[ 8950.850776] NVMeVirt: Write Buffer Latency: 107168
[ 8950.850777] NVMeVirt: NAND Write Latency: 0
[ 8950.850778] NVMeVirt: Total Write Latency: 107168
