[ 8758.140471] NVMeVirt: start_lpn=0, len=512, end_lpn=63, delay=8758140471421
[ 8758.144542] NVMeVirt: NAND Write Latency: 223912
[ 8758.144543] NVMeVirt: Total Write Latency: 107168
[ 8758.144661] NVMeVirt: start_lpn=2112, len=512, end_lpn=2175, delay=123380
[ 8758.144662] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144666] NVMeVirt: NAND Write Latency: 223912
[ 8758.144667] NVMeVirt: Total Write Latency: 107168
[ 8758.144788] NVMeVirt: start_lpn=2176, len=512, end_lpn=2239, delay=125911
[ 8758.144789] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144793] NVMeVirt: NAND Write Latency: 223912
[ 8758.144794] NVMeVirt: Total Write Latency: 107168
[ 8758.144915] NVMeVirt: start_lpn=2240, len=512, end_lpn=2303, delay=126040
[ 8758.144916] NVMeVirt: Write Buffer Latency: 107168
[ 8758.144921] NVMeVirt: NAND Write Latency: 223912
[ 8758.144921] NVMeVirt: Total Write Latency: 107168
[ 8758.145042] NVMeVirt: start_lpn=2304, len=512, end_lpn=2367, delay=126051
[ 8758.145043] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145048] NVMeVirt: NAND Write Latency: 223912
[ 8758.145048] NVMeVirt: Total Write Latency: 107168
[ 8758.145169] NVMeVirt: start_lpn=2368, len=512, end_lpn=2431, delay=125741
[ 8758.145170] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145174] NVMeVirt: NAND Write Latency: 223912
[ 8758.145174] NVMeVirt: Total Write Latency: 107168
[ 8758.145295] NVMeVirt: start_lpn=2432, len=512, end_lpn=2495, delay=125550
[ 8758.145296] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145300] NVMeVirt: NAND Write Latency: 223912
[ 8758.145301] NVMeVirt: Total Write Latency: 107168
[ 8758.145422] NVMeVirt: start_lpn=2496, len=512, end_lpn=2559, delay=125571
[ 8758.145423] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145428] NVMeVirt: NAND Write Latency: 223912
[ 8758.145428] NVMeVirt: Total Write Latency: 107168
[ 8758.145549] NVMeVirt: start_lpn=2560, len=512, end_lpn=2623, delay=125760
[ 8758.145550] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145554] NVMeVirt: NAND Write Latency: 223912
[ 8758.145555] NVMeVirt: Total Write Latency: 107168
[ 8758.145673] NVMeVirt: start_lpn=2624, len=512, end_lpn=2687, delay=122911
[ 8758.145674] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145678] NVMeVirt: NAND Write Latency: 223912
[ 8758.145679] NVMeVirt: Total Write Latency: 107168
[ 8758.145800] NVMeVirt: start_lpn=2688, len=512, end_lpn=2751, delay=125420
[ 8758.145801] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145804] NVMeVirt: NAND Write Latency: 223912
[ 8758.145805] NVMeVirt: Total Write Latency: 107168
[ 8758.145926] NVMeVirt: start_lpn=2752, len=512, end_lpn=2815, delay=125801
[ 8758.145927] NVMeVirt: Write Buffer Latency: 107168
[ 8758.145932] NVMeVirt: NAND Write Latency: 223912
[ 8758.145933] NVMeVirt: Total Write Latency: 107168
[ 8758.146053] NVMeVirt: start_lpn=2816, len=512, end_lpn=2879, delay=125431
[ 8758.146054] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146058] NVMeVirt: NAND Write Latency: 223912
[ 8758.146059] NVMeVirt: Total Write Latency: 107168
[ 8758.146179] NVMeVirt: start_lpn=2880, len=512, end_lpn=2943, delay=125270
[ 8758.146180] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146184] NVMeVirt: NAND Write Latency: 223912
[ 8758.146185] NVMeVirt: Total Write Latency: 107168
[ 8758.146305] NVMeVirt: start_lpn=2944, len=512, end_lpn=3007, delay=125021
[ 8758.146306] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146310] NVMeVirt: NAND Write Latency: 223912
[ 8758.146311] NVMeVirt: Total Write Latency: 107168
[ 8758.146432] NVMeVirt: start_lpn=3008, len=512, end_lpn=3071, delay=125500
[ 8758.146433] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146438] NVMeVirt: NAND Write Latency: 223912
[ 8758.146439] NVMeVirt: Total Write Latency: 107168
[ 8758.146558] NVMeVirt: start_lpn=3072, len=512, end_lpn=3135, delay=125641
[ 8758.146560] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146563] NVMeVirt: NAND Write Latency: 223912
[ 8758.146564] NVMeVirt: Total Write Latency: 107168
[ 8758.146685] NVMeVirt: start_lpn=3136, len=512, end_lpn=3199, delay=125220
[ 8758.146686] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146690] NVMeVirt: NAND Write Latency: 223912
[ 8758.146691] NVMeVirt: Total Write Latency: 107168
[ 8758.146810] NVMeVirt: start_lpn=3200, len=512, end_lpn=3263, delay=124421
[ 8758.146811] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146818] NVMeVirt: NAND Write Latency: 223912
[ 8758.146818] NVMeVirt: Total Write Latency: 107168
[ 8758.146936] NVMeVirt: start_lpn=3264, len=512, end_lpn=3327, delay=124901
[ 8758.146937] NVMeVirt: Write Buffer Latency: 107168
[ 8758.146942] NVMeVirt: NAND Write Latency: 223912
[ 8758.146943] NVMeVirt: Total Write Latency: 107168
[ 8758.147063] NVMeVirt: start_lpn=3328, len=512, end_lpn=3391, delay=125420
[ 8758.147064] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147067] NVMeVirt: NAND Write Latency: 223912
[ 8758.147068] NVMeVirt: Total Write Latency: 107168
[ 8758.147189] NVMeVirt: start_lpn=3392, len=512, end_lpn=3455, delay=125411
[ 8758.147190] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147194] NVMeVirt: NAND Write Latency: 223912
[ 8758.147195] NVMeVirt: Total Write Latency: 107168
[ 8758.147316] NVMeVirt: start_lpn=3456, len=512, end_lpn=3519, delay=125530
[ 8758.147317] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147321] NVMeVirt: NAND Write Latency: 223912
[ 8758.147321] NVMeVirt: Total Write Latency: 107168
[ 8758.147442] NVMeVirt: start_lpn=3520, len=512, end_lpn=3583, delay=125551
[ 8758.147443] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147448] NVMeVirt: NAND Write Latency: 223912
[ 8758.147448] NVMeVirt: Total Write Latency: 107168
[ 8758.147569] NVMeVirt: start_lpn=3584, len=512, end_lpn=3647, delay=126130
[ 8758.147571] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147575] NVMeVirt: NAND Write Latency: 223912
[ 8758.147576] NVMeVirt: Total Write Latency: 107168
[ 8758.147696] NVMeVirt: start_lpn=3648, len=512, end_lpn=3711, delay=124931
[ 8758.147697] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147701] NVMeVirt: NAND Write Latency: 223912
[ 8758.147702] NVMeVirt: Total Write Latency: 107168
[ 8758.147822] NVMeVirt: start_lpn=3712, len=512, end_lpn=3775, delay=125821
[ 8758.147823] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147827] NVMeVirt: NAND Write Latency: 223912
[ 8758.147828] NVMeVirt: Total Write Latency: 107168
[ 8758.147949] NVMeVirt: start_lpn=3776, len=512, end_lpn=3839, delay=125330
[ 8758.147950] NVMeVirt: Write Buffer Latency: 107168
[ 8758.147954] NVMeVirt: NAND Write Latency: 223912
[ 8758.147955] NVMeVirt: Total Write Latency: 107168
[ 8758.148075] NVMeVirt: start_lpn=3840, len=512, end_lpn=3903, delay=125181
[ 8758.148076] NVMeVirt: Write Buffer Latency: 107168
[ 8758.148080] NVMeVirt: NAND Write Latency: 223912
[ 8758.148081] NVMeVirt: Total Write Latency: 107168
[ 8758.148202] NVMeVirt: start_lpn=3904, len=512, end_lpn=3967, delay=125900
[ 8758.148203] NVMeVirt: Write Buffer Latency: 107168
[ 8758.148207] NVMeVirt: NAND Write Latency: 223912
[ 8758.148208] NVMeVirt: Total Write Latency: 107168
[ 8758.148329] NVMeVirt: start_lpn=3968, len=512, end_lpn=4031, delay=125481
[ 8758.148330] NVMeVirt: Write Buffer Latency: 107168
[ 8758.148334] NVMeVirt: NAND Write Latency: 223912
[ 8758.148334] NVMeVirt: Total Write Latency: 107168
[ 8758.148455] NVMeVirt: start_lpn=4032, len=512, end_lpn=4095, delay=125540
[ 8758.148456] NVMeVirt: Write Buffer Latency: 107168
[ 8758.148461] NVMeVirt: NAND Write Latency: 223912
[ 8758.148462] NVMeVirt: Total Write Latency: 107168
